gene,essential,comment
PA14_03030,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03040,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03050,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03070,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03080,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03090,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03100,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03110,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03120,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03130,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03150,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03160,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03163,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03166,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03170,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03180,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03190,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03200,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03210,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03220,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03240,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03250,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03265,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03270,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03285,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03290,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03300,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03310,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03320,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03330,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03340,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03350,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03360,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03370,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03380,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03390,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03400,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03410,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03420,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03430,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03450,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03470,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03480,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03490,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03510,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03520,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03530,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03550,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03560,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03580,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03590,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03610,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03620,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03630,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03650,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03670,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03680,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03700,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03710,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03720,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03730,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03760,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03770,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03780,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03790,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03800,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03810,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03830,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03840,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03855,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03860,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03870,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03880,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03900,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03920,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03930,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03940,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03950,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03960,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03980,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04000,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04010,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04020,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04030,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04040,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04050,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04060,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04070,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04080,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04090,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04100,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04110,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04140,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04150,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04160,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04180,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04190,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04210,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04220,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04230,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04240,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04250,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04270,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04290,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04300,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04310,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04320,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04330,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04340,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04350,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04370,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04380,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04390,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04410,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04420,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04430,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04440,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04460,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04480,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04490,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04510,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04520,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04530,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04550,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04560,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04570,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04580,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04590,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04610,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04630,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04640,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04650,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04660,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04670,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04680,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04690,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04700,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04710,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04730,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04750,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04760,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04780,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04790,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04810,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04820,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04830,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04840,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04850,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04860,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04870,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04890,no,"Manoil and Ausubel Overlap, 2005, LB"
