gene,essential,comment
PA14_09400,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09410,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09420,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09440,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09450,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09460,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09470,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09480,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09490,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09550,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09600,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09660,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09710,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09740,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10140,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10160,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10170,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10180,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10200,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10230,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10240,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10250,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10260,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10420,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10530,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10550,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10600,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10620,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10630,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10790,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10850,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10890,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10900,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_10990,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11000,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11030,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11130,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11190,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11260,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11400,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11410,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11420,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11430,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11460,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11470,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11510,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11530,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11550,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11560,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11690,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11760,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11770,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11790,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11810,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11860,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12010,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12020,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12060,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12230,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12300,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12390,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12400,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12410,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12490,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12890,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12920,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12940,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12960,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_12990,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13110,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13170,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13430,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13500,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13580,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13590,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13600,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13610,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13620,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13750,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13770,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13780,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13800,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13810,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_13830,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14010,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14060,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14100,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14110,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14700,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14820,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14880,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14890,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14940,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15030,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15310,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15340,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15700,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15740,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15780,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15790,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15820,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15890,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16030,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16070,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16090,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16360,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16390,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16660,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16690,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16700,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16860,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16950,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17010,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17030,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17080,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17110,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17120,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17130,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17180,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17190,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17210,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17220,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17270,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17290,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17310,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17320,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17340,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17400,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17420,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17450,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17610,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17620,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17630,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17640,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17675,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17740,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17860,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17880,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17930,no,"Manoil and Ausubel Overlap, 2005, LB met"
